YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SRF_ALB,SZA,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M
2014,1,3,19,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,10.01,3.11,6.56,4.82,62.06,0.0,98.99,2.68,287.8
2014,1,3,20,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,9.32,2.86,6.08,4.7,63.88,0.0,99.02,2.53,298.54
2014,1,3,21,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,8.86,2.73,5.8,4.7,65.31,0.0,99.01,2.31,309.51
2014,1,3,22,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,8.69,2.67,5.68,4.64,65.75,0.0,99.0,2.06,322.87
2014,1,3,23,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,8.7,2.64,5.67,4.64,65.56,0.0,98.96,1.84,339.1
2014,1,4,0,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,8.81,2.62,5.72,4.64,65.0,0.0,98.93,1.61,353.6
2014,1,4,1,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,9.24,2.62,5.93,4.64,63.12,0.0,98.89,1.37,359.67
2014,1,4,2,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,9.01,2.63,5.82,4.64,64.19,0.0,98.87,1.14,352.53
2014,1,4,3,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,8.76,2.65,5.71,4.64,65.38,0.0,98.85,1.11,344.89
2014,1,4,4,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,8.51,2.71,5.62,4.7,66.81,0.0,98.86,1.08,346.57
2014,1,4,5,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,8.3,2.8,5.55,4.7,68.25,0.0,98.9,1.04,353.95
2014,1,4,6,6.63,5.08,0.27,0.08,89.01,1.65,1.92,0.22,0.0,0.0,8.22,2.88,5.55,4.76,69.06,0.0,98.98,1.03,3.04
2014,1,4,7,64.21,87.9,0.25,0.12,79.62,25.12,33.73,3.08,0.02,0.08,10.05,4.08,7.07,5.19,66.62,0.0,99.05,0.99,13.27
2014,1,4,8,180.99,236.23,0.36,0.16,69.24,73.58,91.48,8.66,0.1,0.5,13.33,4.53,8.93,5.37,55.5,0.0,99.15,0.74,353.93
2014,1,4,9,276.52,377.85,0.4,0.12,60.53,114.38,150.42,13.37,0.23,1.15,16.06,3.17,9.62,4.82,42.19,0.0,99.21,0.94,287.84
2014,1,4,10,375.88,487.83,0.46,0.17,54.3,157.0,197.88,18.59,0.4,1.98,18.83,1.8,10.32,4.39,32.25,0.0,99.16,1.45,271.86
2014,1,4,11,302.05,472.8,0.34,0.12,51.48,122.3,186.1,13.95,0.31,1.6,20.4,1.36,10.88,4.27,28.31,0.0,99.04,1.8,261.03
2014,1,4,12,350.79,466.23,0.41,0.12,52.62,143.08,184.85,16.09,0.35,1.8,21.3,1.44,11.37,4.27,26.88,0.0,98.95,2.1,254.67
2014,1,4,13,364.84,397.0,0.48,0.17,57.49,143.17,156.67,15.84,0.29,1.45,21.73,1.66,11.69,4.33,26.56,0.0,98.84,2.06,250.95
2014,1,4,14,239.35,275.05,0.41,0.12,65.25,95.58,107.27,10.7,0.16,0.75,21.43,2.46,11.94,4.64,28.62,0.01,98.8,2.43,250.05
2014,1,4,15,123.34,134.7,0.34,0.12,75.0,48.45,52.05,5.53,0.04,0.2,19.76,5.65,12.71,5.86,40.0,0.0,98.75,1.9,251.34
2014,1,4,16,26.7,23.17,0.27,0.11,85.9,9.35,9.45,1.11,0.0,0.02,15.87,6.53,11.2,6.16,53.88,0.0,98.74,2.16,253.6
2014,1,4,17,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,14.37,4.71,9.54,5.43,52.19,0.0,98.74,2.24,267.0
2014,1,4,18,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,13.76,4.44,9.1,5.31,53.38,0.0,98.76,2.17,290.0
2014,1,4,19,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,12.98,4.36,8.67,5.25,55.75,0.0,98.8,2.24,318.68
2014,1,4,20,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,12.21,4.31,8.26,5.25,58.44,0.0,98.79,2.37,339.18
2014,1,4,21,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,12.01,4.15,8.08,5.19,58.62,0.0,98.79,2.17,323.5
2014,1,4,22,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,11.78,4.55,8.16,5.37,61.25,0.0,98.8,2.29,287.69
2014,1,4,23,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,11.26,5.08,8.17,5.55,65.69,0.0,98.77,2.58,283.28
2014,1,5,0,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,10.68,5.09,7.89,5.55,68.38,0.0,98.74,2.58,292.77
2014,1,5,1,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,10.13,4.95,7.54,5.49,70.19,0.0,98.7,2.52,312.36
2014,1,5,2,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,9.51,4.48,6.99,5.31,70.81,0.0,98.65,2.56,336.02
2014,1,5,3,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,9.43,3.8,6.62,5.07,67.94,0.0,98.62,2.42,347.31
