YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLRSKY_SFC_SW_DWN,ALLSKY_SRF_ALB,SZA,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M
2014,1,3,2,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.34,-4.56,0.39,3.72,54.5,0.0,81.1,1.68,5.34
2014,1,3,3,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,5.08,-5.61,-0.27,3.48,51.38,0.0,81.07,1.81,9.46
2014,1,3,4,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,4.87,-6.59,-0.85,3.17,48.19,0.0,81.04,1.87,10.6
2014,1,3,5,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,4.65,-7.46,-1.41,2.99,45.44,0.0,81.07,1.9,8.26
2014,1,3,6,0.0,-999.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,4.34,-8.2,-1.93,2.75,43.38,0.0,81.13,1.93,6.52
2014,1,3,7,45.23,0.51,41.83,0.17,86.39,14.95,15.15,1.59,0.01,0.02,4.48,-7.92,-1.71,2.81,43.38,0.0,81.21,1.93,5.8
2014,1,3,8,202.86,0.57,242.7,0.14,75.41,83.08,100.3,9.16,0.06,0.33,7.55,-1.45,3.05,4.58,57.06,0.0,81.28,1.65,3.8
2014,1,3,9,369.69,0.63,439.75,0.1,65.41,155.33,186.02,18.82,0.27,1.33,11.32,-3.2,4.06,3.91,37.88,0.0,81.35,1.29,341.67
2014,1,3,10,486.7,0.64,593.8,0.1,57.31,204.27,252.38,25.87,0.51,2.5,13.9,-3.07,5.41,4.03,33.19,0.0,81.37,1.54,255.61
2014,1,3,11,635.22,0.73,687.58,0.1,52.05,268.92,292.75,34.95,0.8,3.98,14.97,-1.76,6.61,4.46,33.94,0.0,81.3,2.79,232.74
2014,1,3,12,637.2,0.71,691.25,0.09,50.53,269.85,292.08,34.62,0.81,4.1,15.04,-0.55,7.24,4.82,36.69,0.0,81.22,3.29,226.83
2014,1,3,13,576.91,0.68,645.62,0.09,53.06,241.45,272.48,30.65,0.67,3.33,14.67,0.25,7.46,5.07,39.56,0.0,81.15,3.23,225.0
2014,1,3,14,483.83,0.67,533.25,0.09,59.12,202.83,224.08,25.1,0.46,2.27,14.01,0.73,7.37,5.25,42.56,0.0,81.1,2.87,224.34
2014,1,3,15,335.17,0.63,365.6,0.07,67.78,138.35,151.65,16.34,0.21,1.02,12.94,1.13,7.04,5.37,46.75,0.0,81.07,2.52,225.13
2014,1,3,16,151.71,0.52,165.35,0.14,78.16,59.58,65.75,6.88,0.04,0.17,10.81,2.79,6.8,5.98,60.0,0.0,81.07,1.62,226.17
